event_id,event_label,ts_utc,ts_et,minute_offset,open,high,low,close,volume,is_zero_vol,is_rth_bar,anchor_price,cum_pct_signed,cum_pct_abs
mar23_iran_ceasefire,"Mar 23: Iran ceasefire announcement (""pre-event signal"")",2026-03-23T10:40:00Z,2026-03-23 06:40 ET,-40,123.15,123.19,122.67,122.76,0,True,False,112.89,8.743,8.743
mar23_iran_ceasefire,"Mar 23: Iran ceasefire announcement (""pre-event signal"")",2026-03-23T10:45:00Z,2026-03-23 06:45 ET,-35,122.73,122.92,122.18,122.26,0,True,False,112.89,8.3001,8.3001
mar23_iran_ceasefire,"Mar 23: Iran ceasefire announcement (""pre-event signal"")",2026-03-23T10:50:00Z,2026-03-23 06:50 ET,-30,122.36,122.74,121.45,122.61,0,True,False,112.89,8.6102,8.6102
mar23_iran_ceasefire,"Mar 23: Iran ceasefire announcement (""pre-event signal"")",2026-03-23T10:55:00Z,2026-03-23 06:55 ET,-25,122.59,122.95,122.59,122.77,0,True,False,112.89,8.7519,8.7519
mar23_iran_ceasefire,"Mar 23: Iran ceasefire announcement (""pre-event signal"")",2026-03-23T11:00:00Z,2026-03-23 07:00 ET,-20,122.8,123.03,122.63,122.84,0,True,False,112.89,8.8139,8.8139
mar23_iran_ceasefire,"Mar 23: Iran ceasefire announcement (""pre-event signal"")",2026-03-23T11:05:00Z,2026-03-23 07:05 ET,-15,122.82,122.86,109.0,113.05,0,True,False,112.89,0.1417,0.1417
mar23_iran_ceasefire,"Mar 23: Iran ceasefire announcement (""pre-event signal"")",2026-03-23T11:10:00Z,2026-03-23 07:10 ET,-10,112.99,114.63,109.0,109.97,0,True,False,112.89,-2.5866,2.5866
mar23_iran_ceasefire,"Mar 23: Iran ceasefire announcement (""pre-event signal"")",2026-03-23T11:15:00Z,2026-03-23 07:15 ET,-5,109.97,111.91,109.68,111.38,0,True,False,112.89,-1.3376,1.3376
mar23_iran_ceasefire,"Mar 23: Iran ceasefire announcement (""pre-event signal"")",2026-03-23T11:20:00Z,2026-03-23 07:20 ET,0,111.4,113.51,110.84,112.89,0,True,False,112.89,0.0,0.0
mar23_iran_ceasefire,"Mar 23: Iran ceasefire announcement (""pre-event signal"")",2026-03-23T11:25:00Z,2026-03-23 07:25 ET,5,112.92,113.43,111.59,112.9,0,True,False,112.89,0.0089,0.0089
mar23_iran_ceasefire,"Mar 23: Iran ceasefire announcement (""pre-event signal"")",2026-03-23T11:30:00Z,2026-03-23 07:30 ET,10,113.0,113.0,111.51,112.2,0,True,False,112.89,-0.6112,0.6112
mar23_iran_ceasefire,"Mar 23: Iran ceasefire announcement (""pre-event signal"")",2026-03-23T11:35:00Z,2026-03-23 07:35 ET,15,112.37,113.48,111.91,113.13,0,True,False,112.89,0.2126,0.2126
mar23_iran_ceasefire,"Mar 23: Iran ceasefire announcement (""pre-event signal"")",2026-03-23T11:40:00Z,2026-03-23 07:40 ET,20,113.08,113.98,112.78,113.65,0,True,False,112.89,0.6732,0.6732
mar23_iran_ceasefire,"Mar 23: Iran ceasefire announcement (""pre-event signal"")",2026-03-23T11:45:00Z,2026-03-23 07:45 ET,25,113.58,114.7,113.56,113.71,0,True,False,112.89,0.7264,0.7264
mar23_iran_ceasefire,"Mar 23: Iran ceasefire announcement (""pre-event signal"")",2026-03-23T11:50:00Z,2026-03-23 07:50 ET,30,113.8,114.94,113.72,114.19,0,True,False,112.89,1.1516,1.1516
mar23_iran_ceasefire,"Mar 23: Iran ceasefire announcement (""pre-event signal"")",2026-03-23T11:55:00Z,2026-03-23 07:55 ET,35,114.2,115.78,114.18,115.26,0,True,False,112.89,2.0994,2.0994
mar23_iran_ceasefire,"Mar 23: Iran ceasefire announcement (""pre-event signal"")",2026-03-23T12:00:00Z,2026-03-23 08:00 ET,40,115.26,126.64,109.0,115.64,0,True,False,112.89,2.4375,2.4375
mar23_iran_ceasefire,"Mar 23: Iran ceasefire announcement (""pre-event signal"")",2026-03-23T12:05:00Z,2026-03-23 08:05 ET,45,115.66,126.5,115.15,115.36,0,True,False,112.89,2.188,2.188
mar23_iran_ceasefire,"Mar 23: Iran ceasefire announcement (""pre-event signal"")",2026-03-23T12:10:00Z,2026-03-23 08:10 ET,50,115.33,115.59,114.59,115.14,0,True,False,112.89,1.9975,1.9975
mar23_iran_ceasefire,"Mar 23: Iran ceasefire announcement (""pre-event signal"")",2026-03-23T12:15:00Z,2026-03-23 08:15 ET,55,115.19,115.2,113.98,114.11,0,True,False,112.89,1.0807,1.0807
mar23_iran_ceasefire,"Mar 23: Iran ceasefire announcement (""pre-event signal"")",2026-03-23T12:20:00Z,2026-03-23 08:20 ET,60,114.12,114.5,113.57,113.99,0,True,False,112.89,0.9744,0.9744
mar23_iran_ceasefire,"Mar 23: Iran ceasefire announcement (""pre-event signal"")",2026-03-23T12:25:00Z,2026-03-23 08:25 ET,65,113.91,114.4,113.37,114.15,0,True,False,112.89,1.1205,1.1205
mar23_iran_ceasefire,"Mar 23: Iran ceasefire announcement (""pre-event signal"")",2026-03-23T12:30:00Z,2026-03-23 08:30 ET,70,114.17,114.18,113.45,113.82,0,True,False,112.89,0.824,0.824
mar23_iran_ceasefire,"Mar 23: Iran ceasefire announcement (""pre-event signal"")",2026-03-23T12:35:00Z,2026-03-23 08:35 ET,75,113.83,114.27,112.88,113.62,0,True,False,112.89,0.6459,0.6459
mar23_iran_ceasefire,"Mar 23: Iran ceasefire announcement (""pre-event signal"")",2026-03-23T12:40:00Z,2026-03-23 08:40 ET,80,113.59,113.96,111.15,111.63,0,True,False,112.89,-1.1124,1.1124
mar23_iran_ceasefire,"Mar 23: Iran ceasefire announcement (""pre-event signal"")",2026-03-23T12:45:00Z,2026-03-23 08:45 ET,85,111.64,112.04,110.38,110.52,0,True,False,112.89,-2.0994,2.0994
mar23_iran_ceasefire,"Mar 23: Iran ceasefire announcement (""pre-event signal"")",2026-03-23T12:50:00Z,2026-03-23 08:50 ET,90,110.65,111.74,110.45,111.49,0,True,False,112.89,-1.2442,1.2442
mar23_iran_ceasefire,"Mar 23: Iran ceasefire announcement (""pre-event signal"")",2026-03-23T12:55:00Z,2026-03-23 08:55 ET,95,111.5,111.8,110.95,111.44,0,True,False,112.89,-1.2861,1.2861
mar23_iran_ceasefire,"Mar 23: Iran ceasefire announcement (""pre-event signal"")",2026-03-23T13:00:00Z,2026-03-23 09:00 ET,100,111.36,111.64,109.85,111.18,0,True,False,112.89,-1.5147,1.5147
mar23_iran_ceasefire,"Mar 23: Iran ceasefire announcement (""pre-event signal"")",2026-03-23T13:05:00Z,2026-03-23 09:05 ET,105,111.2,111.78,111.02,111.29,0,True,False,112.89,-1.4162,1.4162
mar23_iran_ceasefire,"Mar 23: Iran ceasefire announcement (""pre-event signal"")",2026-03-23T13:10:00Z,2026-03-23 09:10 ET,110,111.3,112.44,111.02,112.39,0,True,False,112.89,-0.4423,0.4423
mar23_iran_ceasefire,"Mar 23: Iran ceasefire announcement (""pre-event signal"")",2026-03-23T13:30:00Z,2026-03-23 09:30 ET,130,113.29,113.36,112.61,112.97,12785105,False,True,112.89,0.0709,0.0709
mar23_iran_ceasefire,"Mar 23: Iran ceasefire announcement (""pre-event signal"")",2026-03-23T13:35:00Z,2026-03-23 09:35 ET,135,112.99,113.46,111.91,111.93,1545686,False,True,112.89,-0.8548,0.8548
mar23_iran_ceasefire,"Mar 23: Iran ceasefire announcement (""pre-event signal"")",2026-03-23T13:40:00Z,2026-03-23 09:40 ET,140,111.97,112.56,110.87,111.59,2509600,False,True,112.89,-1.1516,1.1516
mar23_iran_ceasefire,"Mar 23: Iran ceasefire announcement (""pre-event signal"")",2026-03-23T13:45:00Z,2026-03-23 09:45 ET,145,111.57,111.72,110.48,110.57,2086151,False,True,112.89,-2.0551,2.0551
mar23_iran_ceasefire,"Mar 23: Iran ceasefire announcement (""pre-event signal"")",2026-03-23T13:50:00Z,2026-03-23 09:50 ET,150,110.57,110.99,110.1,110.97,1736118,False,True,112.89,-1.7008,1.7008
mar23_iran_ceasefire,"Mar 23: Iran ceasefire announcement (""pre-event signal"")",2026-03-23T13:55:00Z,2026-03-23 09:55 ET,155,110.99,111.65,110.71,111.05,1892199,False,True,112.89,-1.6299,1.6299
mar23_iran_ceasefire,"Mar 23: Iran ceasefire announcement (""pre-event signal"")",2026-03-23T14:00:00Z,2026-03-23 10:00 ET,160,111.06,111.21,109.58,110.18,2735822,False,True,112.89,-2.4006,2.4006
mar23_iran_ceasefire,"Mar 23: Iran ceasefire announcement (""pre-event signal"")",2026-03-23T14:05:00Z,2026-03-23 10:05 ET,165,110.18,110.73,109.94,110.51,2034140,False,True,112.89,-2.1038,2.1038
mar23_iran_ceasefire,"Mar 23: Iran ceasefire announcement (""pre-event signal"")",2026-03-23T14:10:00Z,2026-03-23 10:10 ET,170,110.51,111.0,110.12,110.87,1426947,False,True,112.89,-1.7894,1.7894
mar23_iran_ceasefire,"Mar 23: Iran ceasefire announcement (""pre-event signal"")",2026-03-23T14:15:00Z,2026-03-23 10:15 ET,175,110.87,110.93,110.08,110.35,1278649,False,True,112.89,-2.25,2.25
mar23_iran_ceasefire,"Mar 23: Iran ceasefire announcement (""pre-event signal"")",2026-03-23T14:20:00Z,2026-03-23 10:20 ET,180,110.3,110.61,109.77,110.06,1498786,False,True,112.89,-2.5069,2.5069
apr7_indiana_burst,"Apr 7: 14-min endorsement burst (""the massive one"")",2026-04-07T17:10:00Z,2026-04-07 13:10 ET,-180,141.51,142.0,141.51,141.89,289818,False,True,137.76,2.998,2.998
apr7_indiana_burst,"Apr 7: 14-min endorsement burst (""the massive one"")",2026-04-07T17:15:00Z,2026-04-07 13:15 ET,-175,141.9,142.18,141.71,142.08,224725,False,True,137.76,3.1359,3.1359
apr7_indiana_burst,"Apr 7: 14-min endorsement burst (""the massive one"")",2026-04-07T17:20:00Z,2026-04-07 13:20 ET,-170,142.06,142.46,142.04,142.38,210517,False,True,137.76,3.35,3.35
apr7_indiana_burst,"Apr 7: 14-min endorsement burst (""the massive one"")",2026-04-07T17:25:00Z,2026-04-07 13:25 ET,-165,142.4,142.8,141.95,142.33,399278,False,True,137.76,3.3174,3.3174
apr7_indiana_burst,"Apr 7: 14-min endorsement burst (""the massive one"")",2026-04-07T17:30:00Z,2026-04-07 13:30 ET,-160,142.27,142.28,141.2,141.28,604356,False,True,137.76,2.5552,2.5552
apr7_indiana_burst,"Apr 7: 14-min endorsement burst (""the massive one"")",2026-04-07T17:35:00Z,2026-04-07 13:35 ET,-155,141.25,141.37,140.55,141.1,754239,False,True,137.76,2.4245,2.4245
apr7_indiana_burst,"Apr 7: 14-min endorsement burst (""the massive one"")",2026-04-07T17:40:00Z,2026-04-07 13:40 ET,-150,141.09,141.52,140.98,141.33,462964,False,True,137.76,2.5915,2.5915
apr7_indiana_burst,"Apr 7: 14-min endorsement burst (""the massive one"")",2026-04-07T17:45:00Z,2026-04-07 13:45 ET,-145,141.35,141.77,140.96,141.18,297540,False,True,137.76,2.4826,2.4826
apr7_indiana_burst,"Apr 7: 14-min endorsement burst (""the massive one"")",2026-04-07T17:50:00Z,2026-04-07 13:50 ET,-140,141.05,141.15,140.43,140.86,387319,False,True,137.76,2.2494,2.2494
apr7_indiana_burst,"Apr 7: 14-min endorsement burst (""the massive one"")",2026-04-07T17:55:00Z,2026-04-07 13:55 ET,-135,140.77,141.7,140.65,141.18,517652,False,True,137.76,2.4826,2.4826
apr7_indiana_burst,"Apr 7: 14-min endorsement burst (""the massive one"")",2026-04-07T18:00:00Z,2026-04-07 14:00 ET,-130,141.15,141.15,140.55,140.87,191713,False,True,137.76,2.2574,2.2574
apr7_indiana_burst,"Apr 7: 14-min endorsement burst (""the massive one"")",2026-04-07T18:05:00Z,2026-04-07 14:05 ET,-125,140.83,141.23,140.79,140.99,157647,False,True,137.76,2.3447,2.3447
apr7_indiana_burst,"Apr 7: 14-min endorsement burst (""the massive one"")",2026-04-07T18:10:00Z,2026-04-07 14:10 ET,-120,140.94,141.25,140.65,140.9,141445,False,True,137.76,2.2793,2.2793
apr7_indiana_burst,"Apr 7: 14-min endorsement burst (""the massive one"")",2026-04-07T18:15:00Z,2026-04-07 14:15 ET,-115,140.95,141.05,140.16,140.3,575397,False,True,137.76,1.8439,1.8439
