topic,asset,signal,window,mean,p,n,p_fdr,p_fdr_trim
iran_military,USO,logret,pre,-9.928945779801657e-05,0.038,241,0.057100175746924435,0.0761335676625659
iran_military,USO,logret,post,0.00038058877596531155,0.2172,241,0.27573273942093546,0.31867181467181466
iran_military,USO,vol_z,pre,-0.17965910483327058,5.763002190376639e-09,241,1.883639224937214e-08,9.676734841834315e-08
iran_military,USO,vol_z,post,0.05341699990371166,0.528,241,0.5840103492884864,0.6167213114754099
iran_military,USO,dvol_z,pre,-0.17816515474978808,1.0794357030118378e-08,241,3.49589971998152e-08,1.757938144904993e-07
iran_military,USO,dvol_z,post,0.04043188804792152,0.6132,241,0.663653164556962,0.6921267326732673
iran_military,USO,signed_vol_tick,pre,-78310.30290456432,0.0936,241,0.13130106644790812,0.1644129429892142
iran_military,USO,signed_vol_tick,post,-74664.71784232365,0.4708,241,0.52965,0.56496
iran_military,USO,OFI_bvc,pre,-0.010750485781199269,0.1152,241,0.1586086956521739,0.19542857142857142
iran_military,USO,OFI_bvc,post,-0.0005047598537944654,0.8996,241,0.9162096486003574,0.924746618575293
iran_military,USO,vpin_z,pre,0.14350565346597793,0.0556,241,0.08133105218135157,0.10581636060100166
iran_military,USO,vpin_z,post,-0.04575023742245467,0.6496,241,0.6968732747804266,0.7231875
iran_military,GLD,logret,pre,-6.750283262172237e-05,0.0284,238,0.043516129032258065,0.05908029197080293
iran_military,GLD,logret,post,-0.0014707692134641836,4.9896152502528246e-09,238,1.6408157842177557e-08,8.75101751582803e-08
iran_military,GLD,vol_z,pre,-0.10623704244771379,0.0136,238,0.02244787644787645,0.0329171974522293
iran_military,GLD,vol_z,post,-0.10073183868187222,0.0804,238,0.11485714285714287,0.1461818181818182
iran_military,GLD,dvol_z,pre,-0.10762779941569457,0.0076,238,0.013234215885947047,0.020579572446555817
iran_military,GLD,dvol_z,post,-0.12112538850515024,0.0272,238,0.041864986498649864,0.056999999999999995
iran_military,GLD,signed_vol_tick,pre,-77703.31092436975,0.0384,238,0.05759999999999999,0.07666549912434326
iran_military,GLD,signed_vol_tick,post,-908111.4327731093,0.0008,238,0.001624703087885986,0.002923076923076923
iran_military,GLD,OFI_bvc,pre,-0.005102202821109427,0.2836,238,0.34714101646385115,0.39093591293833135
iran_military,GLD,OFI_bvc,post,-0.02441484779169718,7.447495644144235e-05,238,0.00018141335543428268,0.00043990388778883047
iran_military,GLD,vpin_z,pre,-0.49514510827760955,8.256406133719227e-13,238,3.1798320920405133e-12,4.482049044019009e-11
iran_military,GLD,vpin_z,post,-0.6355525389795915,1.0077448100337999e-10,238,3.575194243065971e-10,2.552953518752293e-09
iran_military,UUP,logret,pre,2.4393321640679766e-05,0.0088,216,0.015154078549848942,0.023222222222222224
iran_military,UUP,logret,post,0.0001943611081092495,8.15992556855485e-08,216,2.5186773866838977e-07,1.0816645521107592e-06
iran_military,UUP,vol_z,pre,-0.06312729752906589,0.17,216,0.22224770642201838,0.2626016260162602
iran_military,UUP,vol_z,post,0.3473116408322398,0.0132,216,0.021850919651500482,0.03215384615384615
