ts_utc,ts_et,open,high,low,close,volume,is_zero_vol,is_rth_bar
2026-03-23T14:20:00Z,2026-03-23 10:20 ET,110.3,110.61,109.77,110.06,1498786,False,True
2026-03-23T14:25:00Z,2026-03-23 10:25 ET,110.06,111.5,109.96,111.46,2078708,False,True
2026-03-23T14:30:00Z,2026-03-23 10:30 ET,111.46,111.58,110.94,111.43,1046167,False,True
2026-03-23T14:35:00Z,2026-03-23 10:35 ET,111.4,112.2,111.33,111.71,1570575,False,True
2026-03-23T14:40:00Z,2026-03-23 10:40 ET,111.74,112.51,111.51,112.34,1027332,False,True
2026-03-23T14:45:00Z,2026-03-23 10:45 ET,112.32,112.53,111.44,111.57,1478271,False,True
2026-03-23T14:50:00Z,2026-03-23 10:50 ET,111.53,111.96,111.13,111.67,992652,False,True
2026-03-23T14:55:00Z,2026-03-23 10:55 ET,111.61,111.93,111.15,111.23,777446,False,True
2026-03-23T15:00:00Z,2026-03-23 11:00 ET,111.21,111.21,107.9,108.07,2439143,False,True
2026-03-23T15:05:00Z,2026-03-23 11:05 ET,108.06,108.54,107.04,107.39,1924111,False,True
2026-03-23T15:10:00Z,2026-03-23 11:10 ET,107.38,107.76,106.45,106.92,1525718,False,True
2026-03-23T15:15:00Z,2026-03-23 11:15 ET,106.96,108.24,106.9,108.2,1323406,False,True
2026-03-23T15:20:00Z,2026-03-23 11:20 ET,108.19,108.5,107.52,107.75,899622,False,True
2026-03-23T15:25:00Z,2026-03-23 11:25 ET,107.76,108.58,107.61,108.36,1019127,False,True
2026-03-23T15:30:00Z,2026-03-23 11:30 ET,108.37,108.62,107.99,108.3,665900,False,True
